Index,Height,Weight
1,55.55,103.17
2,57.01,157.43
3,77.5,218.55
4,78.49,148.82
5,63.32,135.54
6,66.7,210.22
7,55.8,148.12
8,74.65,174.19
9,64.2,98.69
10,58.65,161.27
11,73.07,177.03
12,71.6,146.1
13,62.64,97.77
14,71.68,147.93
15,78.75,169.28
16,73.27,106.4
17,67.33,113.14
18,63.39,204.97
19,61.04,145.94
20,62.43,161.51
21,77.75,140.69
22,63.26,191.67
23,76.29,142.86
24,70.9,103.5
25,66.92,173.87
26,79.14,98.05
27,78.21,112.09
28,75.13,134.13
29,76.04,187.3
30,77.58,151.04
31,61.16,168.46
32,68.44,183.71
33,61.49,186.67
34,71.42,174.89
35,59.49,188.73
36,59.32,121.28
37,55.07,165.47
38,63.21,202.25
39,68.18,115.13
40,59.9,152.05
41,72.42,156.8
42,64.27,208.85
43,60.93,117.28
44,72.38,191.34
45,58.17,96.28
46,63.32,153.0
47,58.27,213.46
48,79.45,198.58
49,56.68,184.51
50,66.54,116.28
51,58.13,166.24
52,64.61,90.57
53,68.07,139.76
54,77.66,179.71
55,71.85,179.15
56,77.35,185.34
57,69.95,103.19
58,73.07,138.7
59,58.23,147.15
60,76.95,197.93
61,77.66,114.65
62,69.91,176.27
63,78.87,191.25
64,73.67,189.22
65,78.62,164.75
66,69.19,216.78
67,72.65,120.27
68,67.74,164.19
69,79.21,184.32
70,74.55,105.03
71,66.05,191.73
72,61.52,117.58
73,55.04,199.93
74,56.21,177.51
75,68.89,97.1
76,76.27,130.34
77,56.42,197.29
78,58.82,115.04
79,65.86,164.87
80,58.93,99.96
81,66.16,145.58
82,78.97,172.86
83,78.44,195.17
84,55.49,98.54
85,66.33,141.24
86,69.37,173.53
87,76.91,155.39
88,58.24,194.6
89,67.21,118.32
90,74.2,133.38
91,77.36,167.19
92,73.04,184.96
93,68.28,156.22
94,64.86,129.77
95,70.02,98.51
96,76.12,129.93
97,74.94,139.64
98,58.58,162.59
99,55.27,174.48
100,78.13,178.95
101,71.58,169.68
102,62.83,192.39
103,55.43,179.63
104,68.11,112.03
105,56.57,107.3
106,76.95,136.38
107,65.06,172.27
108,75.69,190.36
109,57.55,159.65
110,77.98,176.41
111,68.82,112.59
112,57.34,187.26
113,60.04,106.3
114,68.5,160.7
115,67.8,215.88
116,74.93,100.55
117,73.05,216.15
118,57.32,174.1
119,58.74,112.08
120,77.47,217.02
121,58.0,157.4
122,76.09,122.21
123,61.87,196.24
124,61.6,158.97
125,72.14,104.04
126,67.63,164.99
127,68.51,160.45
128,67.13,90.4
129,78.93,137.54
130,75.15,133.44
131,58.37,133.94
132,75.98,119.93
133,66.49,112.6
134,60.18,203.42
135,62.37,137.63
136,73.16,131.59
137,77.83,114.59
138,62.76,142.56
139,70.81,205.01
140,57.17,219.73
141,70.62,93.37
142,73.36,157.21
143,76.19,126.46
144,79.32,129.24
145,78.1,142.12
146,55.42,122.32
147,72.47,188.6
148,62.43,92.15
149,57.84,173.57
150,75.98,112.25
151,71.46,162.5
152,59.15,121.55
153,71.63,141.53
154,61.16,140.02
155,78.48,146.01
156,61.35,202.2
157,61.83,95.15
158,60.27,159.49
159,71.19,116.8
160,77.2,118.76
161,58.02,103.88
162,58.31,133.36
163,61.96,145.83
164,59.72,179.92
165,69.45,98.46
166,66.75,92.04
167,60.84,167.08
168,57.09,147.45
169,71.56,138.42
170,77.03,167.71
171,75.14,208.93
172,70.32,183.47
173,55.06,159.36
174,56.13,119.83
175,74.65,218.25
176,70.1,212.55
177,64.24,157.61
178,62.22,113.61
179,58.41,129.96
180,71.47,95.73
181,55.05,104.56
182,55.42,129.42
183,58.91,170.06
184,61.31,110.69
185,57.62,169.45
186,66.65,132.99
187,62.04,134.98
188,71.18,132.04
189,60.4,192.15
190,69.81,174.3
191,78.96,122.93
192,72.98,157.94
193,77.54,217.0
194,76.16,117.52
195,60.18,185.65
196,76.38,160.81
197,56.65,191.98
198,74.13,175.35
199,65.28,185.11
200,72.38,125.73
201,71.16,166.22
202,73.49,119.33
203,63.26,147.37
204,66.42,164.64
205,56.74,163.71
206,71.29,113.31
207,57.08,176.74
208,59.89,217.52
209,60.44,154.97
210,71.13,116.08
211,79.38,194.76
212,57.58,127.43
213,73.25,98.05
214,78.92,185.57
215,72.81,196.51
216,78.8,213.95
217,69.59,182.51
218,57.68,176.55
219,59.64,125.12
220,57.81,201.06
221,56.5,168.69
222,76.19,150.17
223,59.93,104.23
224,58.87,96.0
225,61.89,139.86
226,60.61,110.6
227,70.27,169.55
228,72.17,218.89
229,68.0,121.99
230,74.51,108.04
231,63.61,111.44
232,77.47,216.18
233,57.19,172.38
234,68.53,98.5
235,79.25,142.61
236,65.43,126.09
237,68.32,125.71
238,76.22,215.58
239,74.5,146.31
240,72.5,108.22
241,70.42,177.44
242,78.03,181.48
243,72.13,181.34
244,58.42,108.59
245,77.03,143.54
246,68.45,140.35
247,64.69,113.76
248,66.73,200.88
249,76.0,106.34
250,72.65,171.79
251,78.03,205.8
252,65.34,97.42
253,58.78,173.66
254,75.02,118.66
255,63.96,115.7
256,75.5,154.17
257,55.96,121.9
258,66.35,176.0
259,76.74,199.72
260,77.7,176.62
261,78.12,201.34
262,74.42,147.88
263,69.0,216.96
264,68.24,106.82
265,67.32,193.45
266,60.38,182.33
267,79.59,148.56
268,61.84,143.35
269,79.67,209.71
270,71.64,111.13
271,65.38,92.54
272,61.96,214.56
273,65.7,157.99
274,70.19,175.52
275,57.59,174.1
276,57.26,199.96
277,55.39,168.65
278,70.92,147.58
279,74.87,180.37
280,64.14,194.8
281,64.51,154.2
282,61.99,219.51
283,60.93,187.7
284,66.96,113.09
285,72.22,148.93
286,66.68,150.68
287,68.21,119.69
288,58.65,165.02
289,75.53,116.92
290,79.11,173.52
291,66.7,95.01
292,70.73,211.36
293,74.79,191.39
294,69.76,154.93
295,59.68,214.49
296,77.27,154.05
297,60.87,155.47
298,78.95,215.37
299,64.86,165.77
300,60.89,169.9
301,65.78,160.62
302,75.33,107.44
303,57.4,104.9
304,56.32,206.66
305,69.45,180.24
306,63.07,151.22
307,77.76,123.25
308,57.22,216.24
309,58.29,218.17
310,64.5,157.25
311,56.35,219.77
312,60.06,97.5
313,55.9,130.37
314,70.69,182.14
315,69.57,115.97
316,78.36,186.23
317,56.6,169.0
318,64.65,200.32
319,68.66,151.0
320,58.41,195.8
321,61.74,156.25
322,76.3,134.52
323,56.08,185.18
324,61.84,172.78
325,61.84,146.03
326,76.5,152.98
327,71.32,146.96
328,56.0,119.46
329,62.76,159.76
330,71.9,166.42
331,79.4,216.99
332,57.91,134.47
333,65.05,96.17
334,66.47,150.6
335,62.19,157.13
336,72.72,202.45
337,63.15,91.71
338,57.76,208.59
339,59.48,160.32
340,72.46,156.58
341,77.2,142.68
342,59.48,150.96
343,56.49,175.5
344,61.14,121.76
345,65.03,193.58
346,56.75,203.63
347,67.73,146.3
348,63.54,158.45
349,69.24,98.28
350,63.33,170.83
351,58.82,190.07
352,60.95,108.15
353,70.73,93.74
354,55.59,124.63
355,62.74,95.03
356,59.56,192.0
357,79.55,99.44
358,74.44,202.07
359,55.41,124.29
360,69.22,119.9
361,72.18,187.99
362,62.7,154.45
363,77.3,202.39
364,61.79,141.95
365,57.79,172.95
366,58.03,147.22
367,67.78,91.81
368,57.89,207.68
369,58.09,144.15
370,55.85,174.59
371,58.5,180.87
372,69.69,142.23
373,74.09,103.96
374,77.28,161.19
375,69.31,193.57
376,71.16,118.46
377,61.92,190.59
378,63.8,200.99
379,75.91,181.31
380,62.15,117.11
381,74.5,207.19
382,76.31,132.17
383,78.26,153.44
384,66.43,127.84
385,63.18,212.83
386,65.82,168.87
387,78.74,215.87
388,70.35,149.39
389,58.09,206.05
390,73.57,203.56
391,74.76,122.08
392,71.98,139.65
393,60.5,140.76
394,57.31,117.03
395,69.56,192.12
396,66.81,155.42
397,72.59,152.71
398,74.68,109.94
399,62.09,178.57
400,60.26,205.1
401,63.37,127.24
402,79.41,120.19
403,75.45,116.83
404,62.38,217.36
405,56.79,131.23
406,79.95,105.69
407,75.94,160.18
408,77.3,193.99
409,62.53,138.44
410,62.47,112.48
411,58.15,124.3
412,77.05,95.81
413,55.22,123.71
414,78.73,141.64
415,76.79,173.46
416,62.02,152.94
417,75.01,181.5
418,68.99,99.66
419,62.01,135.27
420,69.2,97.26
421,71.77,187.8
422,58.51,121.12
423,73.98,149.82
424,61.28,96.63
425,75.7,154.25
426,58.53,113.83
427,64.58,219.45
428,59.63,136.74
429,78.9,137.65
430,67.32,110.15
431,75.33,170.63
432,75.87,171.3
433,75.85,155.59
434,76.2,180.86
435,68.14,154.01
436,59.49,193.09
437,62.68,91.36
438,78.65,193.34
439,56.92,175.85
440,76.28,176.41
441,79.08,217.72
442,61.89,150.15
443,69.72,208.7
444,65.97,168.07
445,60.26,177.57
446,59.67,133.46
447,57.84,187.46
448,61.83,185.78
449,74.0,158.78
450,74.71,94.27
451,66.65,148.98
452,65.03,170.19
453,58.83,106.45
454,63.01,103.88
455,75.43,172.78
456,77.81,90.93
457,79.81,155.87
458,77.39,212.15
459,55.32,101.97
460,64.08,116.38
461,62.91,151.43
462,69.22,160.9
463,61.1,197.17
464,62.65,138.85
465,79.45,215.44
466,55.74,147.59
467,77.03,212.14
468,59.71,97.62
469,73.47,142.66
470,63.56,147.9
471,59.27,204.38
472,76.69,179.37
473,72.88,146.37
474,59.81,166.77
475,73.37,208.0
476,56.6,208.82
477,74.0,146.98
478,79.18,196.58
479,75.08,139.24
480,66.89,163.81
481,75.82,215.08
482,57.9,92.96
483,63.23,217.26
484,66.6,101.54
485,77.38,147.86
486,64.09,174.38
487,77.22,154.46
488,64.64,121.78
489,68.03,205.37
490,77.28,177.03
491,77.06,214.64
492,66.12,144.49
493,76.46,210.55
494,55.26,153.52
495,61.47,154.2
496,78.03,186.2
497,58.08,128.25
498,57.34,160.88
499,74.83,133.25
500,56.3,139.24
501,60.84,163.98
502,76.53,214.87
503,76.99,109.8
504,58.72,202.04
505,55.74,179.15
506,66.09,101.79
507,76.45,131.52
508,57.18,192.79
509,65.8,102.45
510,78.15,92.88
511,57.92,169.52
