Index,Height,Weight
1,55.07,91.09
2,72.15,174.64
3,73.74,193.32
4,58.55,157.26
5,73.58,214.73
6,75.15,187.1
7,63.17,171.38
8,60.36,134.11
9,74.97,144.23
10,63.17,160.85
11,64.8,154.04
12,72.94,140.28
13,77.9,209.17
14,76.14,136.76
15,74.89,123.62
16,77.35,138.61
17,75.4,193.61
18,63.58,92.36
19,58.51,142.6
20,77.19,172.63
21,59.65,117.23
22,79.01,179.87
23,61.83,93.89
24,73.7,130.26
25,56.75,218.29
26,74.82,194.92
27,58.31,173.62
28,57.22,163.3
29,57.01,199.55
30,69.01,133.06
31,56.15,205.06
32,78.75,132.47
33,77.05,139.06
34,79.0,144.19
35,63.17,196.46
36,76.59,132.63
37,69.19,150.32
38,59.31,194.7
39,77.17,120.43
40,61.26,165.88
41,76.03,195.72
42,62.33,113.24
43,62.64,180.63
44,74.68,205.22
45,73.29,197.63
46,79.76,110.44
47,63.45,184.41
48,66.7,192.58
49,72.63,108.61
50,55.79,216.17
51,62.94,214.63
52,59.37,90.68
53,71.48,152.18
54,64.3,142.86
55,63.7,210.5
56,63.85,126.16
57,71.24,151.75
58,58.49,126.17
59,75.82,165.63
60,60.34,167.87
61,57.96,208.36
62,74.77,153.79
63,65.39,170.25
64,61.27,185.41
65,75.64,141.19
66,78.83,99.44
67,79.06,160.46
68,78.43,193.7
69,55.86,92.56
70,55.18,208.85
71,78.86,189.2
72,68.86,130.41
73,77.95,95.45
74,79.34,125.92
75,73.5,150.92
76,69.72,183.82
77,64.98,164.87
78,79.89,216.52
79,63.91,155.61
80,61.23,147.69
81,62.77,214.8
82,70.75,164.46
83,57.48,104.16
84,74.47,142.75
85,71.31,150.8
86,79.25,119.75
87,75.95,100.72
88,70.03,201.77
89,79.01,106.15
90,55.11,127.07
91,59.95,184.28
92,78.02,135.02
93,63.08,108.58
94,71.68,176.82
95,62.43,103.05
96,73.03,197.77
97,74.93,140.35
98,63.08,143.42
99,65.74,193.33
100,55.44,177.42
101,76.1,182.64
102,66.21,130.34
103,74.47,192.69
104,61.24,116.0
105,58.83,98.39
106,58.42,156.09
107,61.36,92.21
108,64.48,172.74
109,79.4,182.43
110,73.32,131.58
111,64.39,189.78
112,75.41,107.83
113,70.03,182.54
114,69.95,145.83
115,67.03,146.7
116,78.0,140.75
117,60.12,200.64
118,59.46,218.32
119,66.31,90.94
120,56.98,152.74
121,78.92,171.5
122,58.07,202.62
123,72.63,217.71
124,60.25,161.51
125,60.99,116.05
126,63.64,210.42
127,79.48,170.7
128,74.37,203.86
129,75.51,185.56
130,73.01,216.46
131,76.07,137.01
132,56.0,155.62
133,70.72,96.73
134,61.93,165.81
135,76.5,161.5
136,68.82,181.96
137,63.52,196.5
138,74.65,172.73
139,58.52,151.14
140,60.77,103.4
141,78.37,196.38
142,78.21,189.5
143,64.47,96.07
144,74.14,127.35
145,68.72,218.95
146,60.2,158.18
147,76.86,218.15
148,63.51,146.99
149,58.54,120.65
150,76.43,151.41
151,68.19,96.96
152,56.55,199.6
153,56.27,194.34
154,76.43,203.92
155,62.61,93.95
156,79.43,218.5
157,69.0,163.86
158,74.18,165.89
159,68.61,90.59
160,78.84,199.3
161,67.62,146.92
162,60.45,122.31
163,71.11,158.16
164,59.97,205.61
165,59.62,94.97
166,69.88,149.29
167,75.94,139.95
168,68.15,131.53
169,70.28,139.45
170,70.31,136.68
171,61.46,193.68
172,59.43,200.53
173,68.49,96.02
174,78.15,179.71
175,64.5,194.06
176,71.79,180.72
177,64.6,199.83
178,69.64,168.82
179,55.44,114.96
180,58.52,110.54
181,72.11,139.81
182,70.79,117.15
183,56.4,99.4
184,71.05,116.75
185,71.7,108.97
186,71.98,199.01
187,61.26,108.09
188,72.48,153.48
189,74.45,211.95
190,63.08,148.82
191,71.57,154.42
192,75.3,184.07
193,64.43,219.07
194,78.69,185.5
195,67.7,157.36
196,70.15,137.6
197,71.65,107.89
198,57.25,217.62
199,67.93,124.45
200,59.87,116.28
201,78.29,122.47
202,58.89,174.48
203,65.29,185.72
204,61.93,149.1
205,56.17,134.27
206,79.28,146.97
207,69.59,106.07
208,60.66,98.03
209,69.32,145.37
210,77.75,156.6
211,58.57,107.34
212,73.87,217.9
213,68.72,136.27
214,58.63,114.62
215,58.2,121.53
216,63.96,212.79
217,59.93,116.44
218,65.6,154.68
219,60.14,175.29
220,76.54,122.01
221,68.42,203.58
222,56.83,92.48
223,67.87,191.42
224,62.49,200.21
225,65.3,200.4
226,60.99,217.65
227,76.48,103.63
228,70.81,162.71
